employee_id,first_name,last_name,email,phone_number,hire_date,department_id
1,Brandon,Martin,davidsherman@kline-andrews.net,(671)612-4960,2020-01-25,85
2,Diana,Adams,timothybryan@gmail.com,(445)619-6041,2015-08-21,14
3,Yolanda,Parker,josephshea@gomez-eaton.biz,(771)800-7052x169,2018-06-24,18
4,Jeremy,Rodriguez,hansonjames@anderson.biz,966-475-1571x3164,2024-03-14,34
5,Roy,Williams,emilyrangel@gmail.com,738.740.5306,2020-06-15,15
6,Randy,Allen,timothypace@hotmail.com,001-525-098-3262x6791,2021-04-29,14
7,Amber,Gutierrez,tamara75@hotmail.com,(200)934-2475x80945,2020-02-20,96
8,David,Davis,landryjose@cook.info,302-868-0611,2024-04-05,71
9,Brian,Sherman,ghenderson@harris.com,(119)091-5059x09838,2018-10-04,20
10,Carmen,Bryan,morgananne@gmail.com,001-877-667-2725,2021-07-29,35
11,Leslie,Allen,mmartinez@clark.com,624.096.3542x95983,2015-10-30,37
12,Bryan,Woods,brian50@hotmail.com,001-369-875-6505x118,2021-10-11,78
13,Kevin,Mclean,carolinegay@yahoo.com,+1-667-088-4002,2023-07-31,27
14,Jesse,Smith,felicia30@hotmail.com,573.202.9337,2020-12-19,92
15,Samantha,Adams,kevinwalker@yahoo.com,481.801.5264x094,2016-12-20,44
16,Mark,Martinez,danalawrence@yahoo.com,+1-555-491-7398x5436,2021-04-29,27
17,Dana,Fernandez,pettychristine@alvarez.com,953.209.6517x94248,2020-09-30,88
18,Adam,Smith,christina89@gmail.com,(510)885-4932x803,2019-07-27,82
19,Leslie,Davis,gthompson@yahoo.com,407.780.6852x8137,2023-03-15,34
20,Theresa,James,lance71@green-parker.com,366.927.1172x459,2018-06-21,65
21,Julian,Doyle,lopezjeffrey@davidson.com,+1-009-019-4180x339,2019-03-21,63
22,Elizabeth,Martinez,zgibson@cuevas-clark.com,(986)568-1683x81221,2018-10-30,33
23,Brandi,Sampson,gilbertelizabeth@gmail.com,+1-809-635-6617,2021-05-23,7
24,Joshua,Ingram,coxgeorge@wright.com,(672)368-3583x4186,2015-06-01,12
25,Jeffrey,White,oclark@williams-williamson.com,442.095.7485x617,2023-01-08,82
26,Hannah,Fernandez,jennifer58@yahoo.com,515-464-4079x974,2015-05-22,55
27,John,Campbell,christine70@hotmail.com,001-236-680-6456x84998,2018-10-27,36
28,Shari,Young,michaelford@hotmail.com,453.992.9974,2018-02-13,6
29,Kevin,Rodriguez,kellyshannon@conner.com,+1-116-460-4103x138,2021-08-11,1
30,Amy,Hill,john81@gmail.com,206-398-5785,2016-09-01,43
31,Kyle,Jennings,julie10@blankenship.com,405.185.7254x64511,2015-06-12,99
32,Nathan,Woods,michael86@gmail.com,(614)239-2003x137,2018-01-10,17
33,Devin,Smith,shieldsmichelle@patrick-carrillo.biz,(300)943-4982x904,2015-05-18,82
34,Andrew,Howe,pshaw@stewart.info,(471)932-0882,2019-01-20,34
35,Angelica,Jones,cory75@walker.com,(615)436-9014x4685,2018-02-02,21
36,Kevin,Howell,yjohnson@keller.net,(103)070-8912x616,2021-09-21,95
